Ch'orti';caa
Garifuna;cab
Chuj;cac
Caddo;cad
Laalaa;cae
Southern Carrier;caf
Nivaclé;cag
Cahuarano;cah
Chané;caj
Kaqchikel;cak
Carolinian;cal
Cèmuhî;cam
Chambri;can
Chácobo;cao
Chipaya;cap
Car Nicobarese;caq
Kari'na;car
Tsimané;cas
Cavineña;cav
Kallawaya;caw
Chiquitano;cax
Cayuga;cay
Canichana;caz
Cabiyarí;cbb
Carapana;cbc
Carijona;cbd
Chimila;cbg
Chachi;cbi
Ede Cabe;cbj
Chavacano;cbk
Bualkhaw Chin;cbl
Nyah Kur;cbn
Izora;cbo
Tsucuba;cbq
Cashibo-Cacataibo;cbr
Cashinahua;cbs
Chayahuita;cbt
Candoshi-Shapra;cbu
Cacua;cbv
Kinabalian;cbw
Carabayo;cby
Cauca;cca
Chamicuro;ccc
Cafundó;ccd
Chopi;cce
Chamba Daka;ccg
Atsam;cch
Kasanga;ccj
Cutchi-Swahili;ccl
Malaccan Creole Malay;ccm
Comaltepec Chinantec;cco
Chakma;ccp
Cacaopera;ccr
Chenchu;cde
Chiru;cdf
Chambeali;cdh
Chodri;cdi
Churahi;cdj
Chepang;cdm
Eastern Min;cdo
Cinda-Regi-Tiyal;cdr
Chadian Sign Language;cds
Koda;cdz
Lower Chehalis;cea
Cebuano;ceb
Chamacoco;ceg
Cen;cen
Centúúm;cet
Dijim-Bwilim;cfa
Cara;cfd
Como Karim;cfg
Falam Chin;cfm
Changriwa;cga
Kagayanen;cgc
Rukiga;cgg
Chocangaca;cgk
Chibcha;chb
Catawba;chc
Highland Oaxaca Chontal;chd
Tabasco Chontal;chf
Chagatai;chg
Chinook;chh
Ojitlán Chinantec;chj
Chuukese;chk
Cahuilla;chl
Chinook Jargon;chn
Choctaw;cho
Chipewyan;chp
Quiotepec Chinantec;chq
Cherokee;chr
Chuabo;chw
Chantyal;chx
Cheyenne;chy
Ozumacín Chinantec;chz
Cia-Cia;cia
Ci Gbe;cib
Chickasaw;cic
Chimariko;cid
Cineni;cie
Chinali;cih
Cimbrian;cim
Cinta Larga;cin
Chiapanec;cip
Tîrî;cir
Chaima;ciy
Western Cham;cja
Chru;cje
Upper Chehalis;cjh
Chamalal;cji
Chokwe;cjk
Eastern Cham;cjm
Chenapian;cjn
Ashéninka Pajonal;cjo
Cabécar;cjp
Shor;cjs
Chuave;cjv
Jin;cjy
Central Kurdish;ckb
Chak;ckh
Cibak;ckl
Kaang Chin;ckn
Anufo;cko
Kajakse;ckq
Kairak;ckr
Tayo;cks
Chukchi;ckt
Koasati;cku
Kavalan;ckv
Caka;ckx
Cakfem-Mushere;cky
Kaqchikel-K'iche' Mixed Language;ckz
Ron;cla
Chilcotin;clc
Chaldean Neo-Aramaic;cld
Lealao Chinantec;cle
Chilisso;clh
Chakali;cli
Idu;clk
Chala;cll
Klallam;clm
Lowland Oaxaca Chontal;clo
Lutuv;clt
Caluyanun;clu
Chulym;clw
Eastern Highland Chatino;cly
Mạ;cma
Cerma;cme
Classical Mongolian;cmg
Emberá-Chamí;cmi
Campalagian;cml
Michigamea;cmm
Mandarin;cmn
Central Mnong;cmo
Messapic;cms
Camtho;cmt
Changthang;cna
Cốông;cnc
Northern Qiang;cng
Lai;cnh
Asháninka;cni
Khumi Chin;cnk
Lalana Chinantec;cnl
Northern Pinghua;cnp
Central Asmat;cns
Tepetotutla Chinantec;cnt
Chenoua;cnu
Middle Cornish;cnx
Cocos Islands Malay;coa
Chicomuceltec;cob
Cocopa;coc
Cocama;cod
Koreguaje;coe
Tsafiki;cof
Chong;cog
Chichonyi-Chidzihana-Chikauma;coh
Cochimi;coj
Santa Teresa Cora;cok
Columbia-Wenatchi;col
Comanche;com
Cofán;con
Comox;coo
Coptic;cop
Coquille;coq
Caquinte;cot
Wamey;cou
Cowlitz;cow
Nanti;cox
Coyaima;coy
Chochotec;coz
Palantla Chinantec;cpa
Ucayali-Yurúa Ashéninka;cpb
Ajyíninka Apurucayali;cpc
Cappadocian Greek;cpg
Chinese Pidgin English;cpi
Cherepon;cpn
Capiznon;cps
Pichis Ashéninka;cpu
Puxian Min;cpx
South Ucayali Ashéninka;cpy
Chuanqiandian Cluster Miao;cqd
Chara;cra
Kalinago;crb
Lonwolwol;crc
Coeur d'Alene;crd
Caramanta;crf
Michif;crg
Crimean Tatar;crh
Sãotomense;cri
Southern East Cree;crj
Plains Cree;crk
Northern East Cree;crl
Moose Cree;crm
Cora;crn
Crow;cro
Iyo'wujwa Chorote;crq
Carolina Algonquian;crr
Seychellois Creole;crs
Iyojwa'ja Chorote;crt
Chaura;crv
Chrau;crw
Carrier;crx
Cori;cry
Cruzeño;crz
Chiltepec Chinantec;csa
Kashubian;csb
Catalan Sign Language;csc
Czech Sign Language;cse
Cuban Sign Language;csf
Chilean Sign Language;csg
Coast Miwok;csi
Jola-Kasa;csk
Central Sierra Miwok;csm
Colombian Sign Language;csn
Sochiapam Chinantec;cso
Southern Pinghua;csp
Costa Rican Sign Language;csr
Southern Ohlone;css
Northern Ohlone;cst
Swampy Cree;csw
Coos;csz
Tataltepec Chatino;cta
Chetco-Tolowa;ctc
Tedim Chin;ctd
Tepinapa Chinantec;cte
Chittagonian;ctg
Tlacoatzintepec Chinantec;ctl
Chitimacha;ctm
Chhintange;ctn
Emberá-Catío;cto
Western Highland Chatino;ctp
Northern Catanduanes Bicolano;cts
Wayanad Chetti;ctt
Chol;ctu
Zacatepec Chatino;ctz
Cua;cua
Cubeo;cub
Usila Chinantec;cuc
Cung;cug
Chuka;cuh
Cuiba;cui
Mashco Piro;cuj
Kuna;cuk
Culina;cul
Cumanagoto;cuo
Cupeño;cup
Cun;cuq
Chhulung;cur
Teutila Cuicatec;cut
Tai Ya;cuu
Cuvok;cuv
Tepeuxila Cuicatec;cux
Cuitlatec;cuy
Chug;cvg
Valle Nacional Chinantec;cvn
Kabwa;cwa
Maindo;cwb
Woods Cree;cwd
Kwere;cwe
Chewong;cwg
Kuwaataay;cwt
Nopala Chatino;cya
Cayubaba;cyb
Cuyunon;cyo
Huizhou;czh
Knaanic;czk
Zenzontepec Chatino;czn
Central Min;czo
Zotung Chin;czt
